PosX,PosY,PosZ,SessionID,PlayerID,DateTime,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:39,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:40,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:40,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:40,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:40,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:40,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:40,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:41,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:41,
-26.20971,0.01651818,-32.76213,0,48230,22/12/2020 21:01:41,
5.4,-0.008000016,-35.09,0,48230,22/12/2020 21:01:41,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:41,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:41,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:41,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:42,
5.4,-0.02136046,-35.09,0,48230,22/12/2020 21:01:43,
5.473768,-0.02127039,-34.94228,0,48230,22/12/2020 21:01:43,
5.117085,-0.02133977,-34.21889,0,48230,22/12/2020 21:01:43,
4.377223,-0.02162033,-33.25581,0,48230,22/12/2020 21:01:43,
3.732541,-0.02179408,-32.41661,0,48230,22/12/2020 21:01:43,
2.996645,-0.0215103,-31.45868,0,48230,22/12/2020 21:01:43,
2.333376,0.5547776,-30.59529,0,48230,22/12/2020 21:01:44,
1.553593,1.698778,-29.58024,0,48230,22/12/2020 21:01:44,
0.8712832,2.090778,-28.69206,0,48230,22/12/2020 21:01:44,
